Ano,Mes,regionName,regionId,CantidadUnidades,ValorMilespesos,Toneladas,Mes2,dia,date,percent
2010,Enero,Antioquia,1,6575322,59653668,6575,01,01,2010-01-01,59653668
2010,Febrero,Antioquia,1,4416532,53569731,4417,02,01,2010-02-02,53569731
2010,Marzo,Antioquia,1,6322766,70250664,6323,03,01,2010-03-03,70250664
2010,Abril,Antioquia,1,5443573,57693000,5444,04,01,2010-04-04,57693000
2010,Mayo,Antioquia,1,6493210,64005468,6493,05,01,2010-05-05,64005468
2010,Junio,Antioquia,1,6485419,59821035,6485,06,01,2010-06-06,59821035
2010,Julio,Antioquia,1,3698951,34746649,3699,07,01,2010-07-07,34746649
2010,Agosto,Antioquia,1,2507953,29765896,2508,08,01,2010-08-08,29765896
2010,Septiembre,Antioquia,1,2290070,26234124,2290,09,01,2010-09-09,26234124
2010,Octubre,Antioquia,1,2791470,35989713,2791,10,01,2010-10-10,35989713
2010,Noviembre,Antioquia,1,4611714,53693623,4612,11,01,2010-11-11,53693623
2010,Diciembre,Antioquia,1,6997249,79958385,6997,12,01,2010-12-12,79958385
2011,Enero,Antioquia,1,8077509,83003925,8078,01,01,2011-01-01,83003925
2011,Febrero,Antioquia,1,8180915,97128988,8181,02,01,2011-02-02,97128988
2011,Marzo,Antioquia,1,7094593,95945665,7095,03,01,2011-03-03,95945665
2011,Abril,Antioquia,1,7657182,95214529,7657,04,01,2011-04-04,95214529
2011,Mayo,Antioquia,1,7316724,90707919,7317,05,01,2011-05-05,90707919
2011,Junio,Antioquia,1,7398300,88573867,7398,06,01,2011-06-06,88573867
2011,Julio,Antioquia,1,4367500,65121387,4368,07,01,2011-07-07,65121387
2011,Agosto,Antioquia,1,3988225,62220519,3988,08,01,2011-08-08,62220519
2011,Septiembre,Antioquia,1,2027201,41846313,2027,09,01,2011-09-09,41846313
2011,Octubre,Antioquia,1,2270382,40650838,2270,10,01,2011-10-10,40650838
2011,Noviembre,Antioquia,1,5337295,80277788,5337,11,01,2011-11-11,80277788
2011,Diciembre,Antioquia,1,5572767,77500861,5573,12,01,2011-12-12,77500861
2012,Enero,Antioquia,1,4862048,61627094,4862,01,01,2012-01-01,61627094
2012,Febrero,Antioquia,1,6485283,72790152,6485,02,01,2012-02-02,72790152
2012,Marzo,Antioquia,1,6620153,76056023,6620,03,01,2012-03-03,76056023
2012,Abril,Antioquia,1,3506161,47717503,3506,04,01,2012-04-04,47717503
2012,Mayo,Antioquia,1,4105860,50575340,4106,05,01,2012-05-05,50575340
2012,Junio,Antioquia,1,4452329,49890483,4452,06,01,2012-06-06,49890483
2012,Julio,Antioquia,1,2966681,38197761,2967,07,01,2012-07-07,38197761
2012,Agosto,Antioquia,1,3270472,40040534,3270,08,01,2012-08-08,40040534
2012,Septiembre,Antioquia,1,2741657,36464270,2742,09,01,2012-09-09,36464270
2012,Octubre,Antioquia,1,2661222,34033584,2661,10,01,2012-10-10,34033584
2012,Noviembre,Antioquia,1,4273452,47983019,4273,11,01,2012-11-11,47983019
