Mes,Antioquia,Bogota,Caldas,Cauca,Huila,Quindio,Risaralda,Santander,Tolima,VC
Enero,602461109,236453221,689956872,155214155,636181505,363229100,606261609,187215084,186053684,135229508
Febrero,714273146,303751093,581537563,118433236,605692917,333372481,541492867,168685407,215744122,163047627
Marzo,771174670,301897004,704818463,120695433,569849333,300775972,519110780,240762157,204142640,187196414
Abril,756010722,273571595,781193522,105303630,484761782,301844944,579519235,156041295,170554724,222455570
Mayo,657823371,248940546,684750194,103357193,402516784,247554478,577811196,147754240,183087923,157196365
Junio,563939319,194421206,609202776,128471330,437905813,262708072,480918179,109744661,210127687,125732560
Julio,547518558,225177711,648890230,176855757,566591378,324877285,522175710,110297440,187965533,166746320
Agosto,536900729,194994429,717816162,205698284,612414091,311082808,501636699,103998514,222225009,171998938
Septiembre,508042555,205634496,721063398,196562077,708868543,383456333,468365835,90800531,200583308,204446920
Octubre,463552488,207148691,727200639,172694094,661102034,355036581,486817224,113536733,240224752,187265537
Noviembre,696510463,237267889,807780938,154651253,655854864,335579743,637959631,118261935,223713844,201257579
Diciembre,813602065,305901890,928585938,199485518,959494881,449363900,744605138,214724360,228919676,261092639
