Mes,Antioquia,Bogota,Caldas,Cauca,Huila,Quindio,Risaralda,Santander,Tolima,VC
Enero,739372580,253168114,847499056,183654549,754700844,449481221,687374340,223966212,221335796,182222330
Febrero,817919613,314903645,726253315,141906025,700147919,372373853,580080012,201530938,239592195,189568848
Marzo,861610969,310821588,864708867,145326161,647296172,354235383,576304806,278363096,228501884,229287734
Abril,870808636,288185518,958927366,129218799,544858288,363194969,636588377,181505099,196944197,258823101
Mayo,759372902,257418367,854590252,127592374,475625625,305500721,631656741,177605727,205204385,179921466
Junio,563939319,194421206,609202776,128471330,437905813,262708072,480918179,109744661,210127687,125732560
Julio,547518558,225177711,648890230,176855757,566591378,324877285,522175710,110297440,187965533,166746320
Agosto,536900729,194994429,717816162,205698284,612414091,311082808,501636699,103998514,222225009,171998938
Septiembre,508042555,205634496,721063398,196562077,708868543,383456333,468365835,90800531,200583308,204446920
Octubre,463552488,207148691,727200639,172694094,661102034,355036581,486817224,113536733,240224752,187265537
Noviembre,696510463,237267889,807780938,154651253,655854864,335579743,637959631,118261935,223713844,201257579
Diciembre,813602065,305901890,928585938,199485518,959494881,449363900,744605138,214724360,228919676,261092639
